CollectedAt,IsHoliday,ParkId,TotalSpaces,AvailableSpaces,FullStatus,ParkDataCollectTime,RainNow,RainPast10Min,RainPast1hr,RainPast3hr,RainPast12hr,RainPast24hr
2026-05-29T18:00:34,0,088,354,53,0,2026-05-26T16:34:54+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,089,214,29,0,2026-05-26T16:34:32+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,090,181,47,0,2026-05-26T16:34:23+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,092,209,19,0,2026-05-26T16:34:56+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,093,238,15,0,2026-05-26T16:34:33+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,096,461,48,0,2026-01-08T17:07:16+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,097,105,25,0,2026-05-26T16:34:58+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,098,245,83,0,2026-05-26T16:34:57+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,099,284,22,0,2026-05-26T16:34:54+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,102,176,12,0,2026-05-26T16:34:28+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,103,313,23,0,2026-05-26T16:32:50+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,105,293,11,0,2026-05-26T16:34:30+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,106,286,49,0,2026-05-26T16:34:36+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,107,230,29,0,2026-05-26T16:34:32+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,109,251,121,0,2026-05-26T16:32:07+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,111,155,52,0,2026-05-26T16:35:01+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,113,259,72,0,2026-05-26T16:34:32+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,114,253,42,0,2026-05-26T16:34:07+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,119,266,26,0,2026-05-26T16:34:32+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,120,400,199,0,2026-05-26T16:35:01+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,124,464,65,0,2026-03-20T07:47:51+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,128,233,20,0,2026-05-26T16:35:02+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,129,86,0,2,2026-05-26T16:34:05+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,165,412,93,0,2026-05-26T16:34:57+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,187,239,26,0,2026-05-26T16:35:02+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,188,430,36,0,2026-05-26T16:35:02+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,193,286,75,0,2026-05-26T16:34:39+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,195,70,2,0,2026-01-08T17:07:31+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,215,108,10,0,2026-05-26T16:34:36+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,229,194,0,2,2026-05-26T16:34:47+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,249,175,22,0,2026-05-26T16:35:01+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,372,310,124,0,2026-05-26T16:34:27+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,640,297,45,0,2026-05-26T16:34:45+08:00,16.5,0.0,0.0,0.0,15.0,16.5
